w_geocode,h_geocode,S000,SA01,SA03,SE01,SE02,SE03,SI01,SI02,SI03,createdate,SA02,origin_lon,origin_lat,dest_lon,dest_lat
170318391001089,170311302001024,4,1,1,0,0,4,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.73058428,41.98355179
170318391001089,170311303001000,4,1,1,0,1,3,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.70899921,41.98673391
170318391001089,170311303001006,4,0,2,1,0,3,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.71104613,41.98440513
170318391001089,170311303003011,6,2,1,0,1,5,0,0,6,20190825,3.0,-87.63009501,41.879755200000005,-87.71112049999999,41.98747043
170318391001089,170311402001000,4,1,0,1,1,2,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.70946325,41.97413699
170318391001089,170311402003009,4,0,1,0,2,2,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.71679992,41.97109979
170318391001089,170311403022010,5,0,2,0,3,2,0,0,5,20190825,3.0,-87.63009501,41.879755200000005,-87.72107741,41.97105133
170318391001089,170311403023006,4,1,2,1,2,1,0,0,4,20190825,1.0,-87.63009501,41.879755200000005,-87.72763561,41.97381497
170318391001089,170311404004016,4,0,2,1,0,3,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.73974423,41.96850392
170318391001089,170311404005012,5,0,1,1,0,4,0,0,5,20190825,4.0,-87.63009501,41.879755200000005,-87.74594722,41.96971801
170318391001089,170311406021005,4,0,1,0,1,3,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.71974813,41.96719389
170318391001089,170311406022000,5,2,0,0,0,5,0,0,5,20190825,3.0,-87.63009501,41.879755200000005,-87.71847555,41.96561652
170318391001089,170311406022011,4,2,1,0,1,3,0,0,4,20190825,1.0,-87.63009501,41.879755200000005,-87.72021857,41.96240770000001
170318391001089,170311407011009,4,0,0,0,0,4,0,0,4,20190825,4.0,-87.63009501,41.879755200000005,-87.71205772,41.96577471
170318391001089,170311407021001,4,2,1,1,0,3,0,0,4,20190825,1.0,-87.63009501,41.879755200000005,-87.70988637,41.96490822
170318391001089,170311408004007,5,0,2,0,2,3,0,0,5,20190825,3.0,-87.63009501,41.879755200000005,-87.70556907,41.96365073
170318391001089,170311408005006,4,1,2,0,0,4,0,0,4,20190825,1.0,-87.63009501,41.879755200000005,-87.70663527,41.96824238
170318391001089,170311408005009,5,1,0,0,1,4,0,0,5,20190825,4.0,-87.63009501,41.879755200000005,-87.70507449,41.96733986
170318391001089,170311408005019,6,0,2,0,3,3,0,0,6,20190825,4.0,-87.63009501,41.879755200000005,-87.70629868,41.96733193
170318391001089,170311502002003,4,0,0,1,1,2,0,0,4,20190825,4.0,-87.63009501,41.879755200000005,-87.75080091,41.96671515
170318391001089,170311502002033,5,0,0,0,1,4,0,0,5,20190825,5.0,-87.63009501,41.879755200000005,-87.74910784,41.96047192
170318391001089,170311502003001,5,1,0,0,1,4,0,0,5,20190825,4.0,-87.63009501,41.879755200000005,-87.74837058,41.95493539
170318391001089,170311502004002,4,0,0,0,0,4,0,0,4,20190825,4.0,-87.63009501,41.879755200000005,-87.75593781,41.96589491
170318391001089,170311502005007,6,2,2,1,1,4,0,0,6,20190825,2.0,-87.63009501,41.879755200000005,-87.7553358,41.95902391
170318391001089,170311503001008,4,0,1,2,0,2,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.76136804,41.96584296
170318391001089,170311503001009,4,1,1,1,0,3,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.75978176,41.96602083
170318391001089,170311503002009,4,0,1,0,1,3,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.75863777,41.96126756
170318391001089,170311503002012,5,2,0,0,1,4,0,0,5,20190825,3.0,-87.63009501,41.879755200000005,-87.7586276,41.96081127
170318391001089,170311503002014,4,0,1,0,0,4,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.76107566,41.96032833
170318391001089,170311503004001,4,1,0,0,0,4,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.76064995,41.95668075
170318391001089,170311503005013,4,0,1,0,1,3,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.76559392,41.9570792
170318391001089,170311503006000,4,0,3,1,0,3,0,0,4,20190825,1.0,-87.63009501,41.879755200000005,-87.76364449,41.96285882
170318391001089,170311503007020,4,0,0,0,0,4,0,0,4,20190825,4.0,-87.63009501,41.879755200000005,-87.76367428,41.96371533
170318391001089,170311504012008,6,1,1,1,1,4,0,0,6,20190825,4.0,-87.63009501,41.879755200000005,-87.77100394,41.96344041
