GEOID,X,Y
1.70E+14,-87.63920595,41.91113446
1.70E+14,-87.69038323,41.87440015
1.70E+14,-87.6370435,41.90278423
1.70E+14,-87.6275339,41.89710784
1.70E+14,-87.62607871,41.89290638
1.70E+14,-87.62605615,41.8921041
1.70E+14,-87.62879032,41.88823166
1.70E+14,-87.62873683,41.88659334
1.70E+14,-87.62485159,41.88481229
1.70E+14,-87.62571148,41.88016673
1.70E+14,-87.62492269,41.88303998
1.70E+14,-87.68104963,42.01815961
1.70E+14,-87.6830363,42.01324624
1.70E+14,-87.68121466,41.94433066
1.70E+14,-87.68026072,41.94295803
1.70E+14,-87.6785951,41.93888519
1.70E+14,-87.6723325,41.88069906
1.70E+14,-87.65782976,41.88805334
1.70E+14,-87.66247783,41.88969522
1.70E+14,-87.66204462,41.89295629
1.70E+14,-87.66162403,41.89524411
1.70E+14,-87.66710867,41.89925737
1.70E+14,-87.66815563,41.90624919
1.70E+14,-87.656939,41.89296084
1.70E+14,-87.65040813,41.88618823
1.70E+14,-87.61690281,41.82565085
1.70E+14,-87.60545668,41.82229541
1.70E+14,-87.59754445,41.81393859
1.70E+14,-87.66386449,41.88500198
1.70E+14,-87.67073647,41.88068462
1.70E+14,-87.66058678,41.88959023
1.70E+14,-87.65973302,41.89687826
1.70E+14,-87.65893934,41.89197486
1.70E+14,-87.61714636,41.82473991
1.70E+14,-87.61697898,41.82324326
1.70E+14,-87.60837148,41.82182637
1.70E+14,-87.58660539,41.8009383
1.70E+14,-87.68840908,41.87273126
1.70E+14,-87.65785612,41.88636851
1.70E+14,-87.65274682,41.88635009
1.70E+14,-87.65241153,41.8849464
1.70E+14,-87.69780294,41.87946529
1.70E+14,-87.69650979,41.87879753
1.70E+14,-87.67572308,41.89210651
1.70E+14,-87.67557476,41.88701669
1.70E+14,-87.67070085,41.88754759
1.70E+14,-87.71175274,41.86602326
1.70E+14,-87.70626913,41.86615659
1.70E+14,-87.7644726,41.90328892
1.70E+14,-87.67054799,41.90304576
1.70E+14,-87.75611165,41.90360502
1.70E+14,-87.74751604,41.90302114
1.70E+14,-87.66316251,41.89408703
1.70E+14,-87.66189695,41.89596775
1.70E+14,-87.69453724,41.87221527
