,stop_id,stop_name,stop_lat,stop_lon,starttime,endtime,route_id,route_type
4659,14674,Dempster & Dewey,42.04108749,-87.69612067,52579,66878,206,3
4660,14675,Dempster & Florence,42.04113802,-87.69460104,52601,66903,206,3
4661,14676,Dempster & Wesley,42.04118341,-87.69216365,52636,66942,206,3
4662,14677,Dempster & Asbury,42.04119673,-87.69032790000001,52662,66971,206,3
4663,14678,Dempster & Ridge,42.04119787,-87.68842898,52689,67002,206,3
4664,3518,Howard & Barton,42.01960031,-87.68847772,53233,67213,206,3
4665,3518,Howard & Barton,42.01960031,-87.68847772,19114,82132,97,3
4666,3518,Howard & Barton,42.01960031,-87.68847772,70426,80632,97,3
4667,3519,Howard & Western/Asbury,42.01959882,-87.68998555,53280,67260,206,3
4668,3519,Howard & Western/Asbury,42.01959882,-87.68998555,19135,82155,97,3
4669,3519,Howard & Western/Asbury,42.01959882,-87.68998555,70454,80655,97,3
4670,14341,Asbury & Brummel,42.02143118,-87.69004039,53302,67288,206,3
4671,14343,Asbury & Harvard Terrace,42.02243203,-87.68996736,53315,67304,206,3
4672,14345,Asbury & Mulford,42.02337423,-87.69000548,53328,67320,206,3
4673,14346,Asbury & Hull Terrace,42.02440292,-87.68990553,53342,67337,206,3
4674,13126,Oakton & Asbury,42.02682815,-87.69019555,53378,67383,206,3
4675,14349,Oakton & Wesley,42.02668431,-87.69221162,53396,67405,206,3
4676,14351,Oakton & Florence,42.02668154,-87.69451976,53419,67434,206,3
4677,14354,Oakton & Dewey,42.02669623,-87.69698709,53436,67455,206,3
4678,13128,Oakton & Dodge,42.02664181,-87.69921333,53466,67493,206,3
4679,14356,Dodge & South Blvd,42.027255600000004,-87.69929815,53477,67506,206,3
4680,14356,Dodge & South Blvd,42.027255600000004,-87.69929815,19270,76945,93,3
4681,14360,Dodge & Seward,42.02892972,-87.69932348,53498,67533,206,3
4682,14360,Dodge & Seward,42.02892972,-87.69932348,19291,76969,93,3
4683,14364,Dodge & Monroe,42.03058762,-87.69924405,53524,67564,206,3
4684,14364,Dodge & Monroe,42.03058762,-87.69924405,19321,77002,93,3
4685,14367,Dodge & Washington,42.03256526,-87.69924948,53547,67593,206,3
4686,14367,Dodge & Washington,42.03256526,-87.69924948,19347,77032,93,3
4687,12698,Dodge & Main,42.03372229,-87.69908484,53563,67614,206,3
4688,12698,Dodge & Main,42.03372229,-87.69908484,19366,77053,93,3
4689,14368,Dodge & Lee,42.03557743,-87.69908952,53592,67649,206,3
4690,14368,Dodge & Lee,42.03557743,-87.69908952,19399,77090,93,3
4691,14370,Dodge & Greenleaf,42.03736048,-87.69900883,53613,67676,206,3
